date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:33	156589/156589	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Feb%202026%2010:58:41%20GMT	https://www.darknode.army/en	C:/Users/Anikane/Downloads/Cloning/clone2/www.darknode.army/en.html	(from )
16:26:34	74040/74040	---MCZ	200	added ('OK')	text/css	etag:W/%22297c974a89992058a5122b8e513f223e%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/css/darknode-834e90.webflow.shared.bf3286c64.min.css	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/css/darknode-834e90.webflow.shared.bf3286c64.min.css	(from https://www.darknode.army/en)
16:26:34	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Anikane/Downloads/Cloning/clone2/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.darknode.army/en)
16:26:34	464/464	---M--	200	added ('OK')	image/png	etag:%228b9e6e907847b5dcb5b2c6f4a5a8b30f%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/6939358280704ef9dcab7e31_logo.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/6939358280704ef9dcab7e31_logo.png	(from https://www.darknode.army/en)
16:26:34	1626/1626	---M--	200	added ('OK')	image/png	etag:%224ea2e8c2815d0f2c2fb35d1ff348c9c7%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/693935887db46aaa909e7e81_logo%20(1).png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/693935887db46aaa909e7e81_logo%20(1).png	(from https://www.darknode.army/en)
16:26:35	104072/104072	---M--	200	added ('OK')	image/png	etag:%22a533c86b3a8412e90eb576c8ba45446f%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68db11b5bcef7efa86b54b16_pattern.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68db11b5bcef7efa86b54b16_pattern.png	(from https://www.darknode.army/en)
16:26:35	165361/165361	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Feb%202026%2009:43:32%20GMT	https://www.darknode.army/	C:/Users/Anikane/Downloads/Cloning/clone2/www.darknode.army/index.html	(from https://www.darknode.army/en)
16:26:36	15185/15185	---M--	200	added ('OK')	image/png	etag:%2213ec9857c13139459e0861e47c070cb1%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/6902b25f84e4aedbee07d698_Group%2055.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/6902b25f84e4aedbee07d698_Group%2055.png	(from https://www.darknode.army/en)
16:26:36	71520/71520	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2021%20Jan%202026%2020:02:11%20GMT	https://unpkg.com/gsap@3.12.2/dist/gsap.min.js	C:/Users/Anikane/Downloads/Cloning/clone2/unpkg.com/gsap@3.12.2/dist/gsap.min.js	(from https://www.darknode.army/en)
16:26:36	42667/42667	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Feb%202026%2021:23:21%20GMT	https://unpkg.com/gsap@3.12.2/dist/ScrollTrigger.min.js	C:/Users/Anikane/Downloads/Cloning/clone2/unpkg.com/gsap@3.12.2/dist/ScrollTrigger.min.js	(from https://www.darknode.army/en)
16:26:36	9961/9961	---M--	200	added ('OK')	image/png	etag:%229d08213124a49afa70f9251d5e5d7f10%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99c24d687293cf26412_ezgif-frame-003_bwvef1.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99c24d687293cf26412_ezgif-frame-003_bwvef1.png	(from https://www.darknode.army/en)
16:26:36	11041/11041	---M--	200	added ('OK')	image/png	etag:%22ab0d1640418290d868d5ac777b577b78%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99cff589fb2c08c5034_ezgif-frame-004_wuxo4u.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99cff589fb2c08c5034_ezgif-frame-004_wuxo4u.png	(from https://www.darknode.army/en)
16:26:37	11597/11597	---M--	200	added ('OK')	image/png	etag:%222082f7eb04dfd1a2930b5c2317d076fe%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99cc79845945abf0d3d_ezgif-frame-005_jp04rl.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99cc79845945abf0d3d_ezgif-frame-005_jp04rl.png	(from https://www.darknode.army/en)
16:26:37	12465/12465	---M--	200	added ('OK')	image/png	etag:%2276c4c77dd242b41157564abf25a7d5c4%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d491e133a8598f06c_ezgif-frame-006_eudffn.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d491e133a8598f06c_ezgif-frame-006_eudffn.png	(from https://www.darknode.army/en)
16:26:37	15201/15201	---M--	200	added ('OK')	image/png	etag:%22e59bb554edab96e34c1c5a24131647ba%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d24d687293cf26430_ezgif-frame-007_ghaiqd.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d24d687293cf26430_ezgif-frame-007_ghaiqd.png	(from https://www.darknode.army/en)
16:26:37	22731/22731	---M--	200	added ('OK')	image/png	etag:%229f8bb7acbacbf8a9c7559970d4184f2f%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d8f134ef1fa0f02f7_ezgif-frame-008_aw4aiz.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d8f134ef1fa0f02f7_ezgif-frame-008_aw4aiz.png	(from https://www.darknode.army/en)
16:26:37	30418/30418	---M--	200	added ('OK')	image/png	etag:%225030765838360579cd3276d392d768d0%22	https://cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d491e133a8598f072_ezgif-frame-009_h0rkco.png	C:/Users/Anikane/Downloads/Cloning/clone2/cdn.prod.website-files.com/68da9c3644ccc31db134dd0d/68e3d99d491e133a8598f072_ezgif-frame-009_h0rkco.png	(from https://www.darknode.army/en)
